Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot
Naachiyaar,Tamil,6.8,1 h 38 min,2018.0,13+,"Naachiyaar, a film that deals with the unexplored shades of grey in a minor love story; a pregnant young girl and her naive lover who has been accused of rape. An honest and persistent cop, Naachiyaar leads the investigation of the seemingly easy case at first, but what happens when it takes a turn for the worse. How will Naachiyaar as a woman deal with sensitive issues related to the case?"
Born To Race : Fast Track,Gujarati, 5.3,1 h 37 min,2014.0,16+,"Danny Krueger is a twenty-year old street racer who plays by his own rules. After winning a scholarship to the prestigious Fast Lane Racing Academy, Danny finds himself competing against some of the fiercest young drivers in the world. Tension soars on and off the track, and a terrible incident leaves Danny without a racing partner."
The Unborn,Hindi,4.8,20min,2017.0,All,A couple have a daughter and they are pregnant with their next child. They feel they cannot afford another girl child for all the obvious and unjustified reasons. So to arrange the money for sex determination test they decide to steal a copper wire from the quarry that they work at. This decision completely turns their world upside down.
Kshana Kshanam,Telugu,8.1,2 h 29 min,1991.0,All,Kshana Kshanam is the story about a high-profile bank robbery in the city which wreaks havoc in the life of an unsuspecting regular young woman Satya (Sridevi) and Chandu (Venkatesh) who are forced to go to a forest when they are caught in the line of fire between Nayar (Paresh Rawal) and Inspector Yadav (Rami Reddy).
Raagam Anuragam,Malayalam,7.1,1 h 35 min,1991.0,NR,"Raagam Anuragam is a 1991 Indian Malayalam film, directed by Nikhil, starring Mukesh and Madhuri in the lead roles."
Nanna Prakara,Kannada, 6.4,1 h 55 min,2019.0,13+,"Ashok (Kishore) plays a cop character & his wife Amrutha (Priyamani), a doctor. Ashok is handed the case of Vismaya Suresh (Mayuri), who is supposed to get married in a week to Suman (Arjun Jogi) but is burnt in a car accident. The episodes take a complicated turn when Ashok gets to know that two girls of the same name died at the same spot. Rest of story is How Ashok solves the case"
Saptapadii,Gujarati,7.2,1 h 40 min,2013.0,13+,"Swati and Siddharth meet Mohsin, a traumatised child, while celebrating their 20th wedding anniversary in Saputara. Swati puts her marital and family life in jeopardy to help cure Mohsin."
San Andreas,Telugu,6.1,1 h 54 min,2015.0,13+,"After the San Andreas Fault triggered a magnitude 9 earthquake, a rescue helicopter pilot and his estranged wife make their way to San Francisco to save their only daughter."
Before I Wake,English,6.2,1 h 33 min,2018.0,16+,A couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.
Kalangarai Vilakkam,Tamil,6.4,2 h 22 min,1965.0,NR,"Kalangarai Vilakkam is a 1965 Indian Tamil film, directed by K. Sankar and produced by G. N. Velumani. The film stars M. G. Ramachandran, B. Saroja Devi, M. N. Nambiar and Nagesh in lead roles. The film had musical score by M. S. Viswanathan."
Chaar Din Ki Chandni,Hindi,4.1,2 h 11 min,2012.0,NR,"Chaar Din Ki Chandni, true to its title, is a comedy with an essence of romance, set against the backdrop of Rajasthan at a four-day wedding. This complete family entertainer revolves around a Rajput family and a family from Punjab, who are caught in a situation to create a comedy of errors. In words, one can say that both are 'Singhs', but who is the real 'King'?"
Mee Shivajiraje Bhosale Boltoy,Marathi,7.9,2 h 27 mins,2009.0,All,Dinkar Bhosale represents thousands of 'Marathis' who feel they have lost their identity in the cosmopolitan city of Mumbai. He feels Mumbai is in Maharashtra but there is no Maharashtra left in Mumbai. He always complains about the lack of respect a Marathi receives in Mumbai & feels he is victimized everywhere; little realizing that he himself has brought this situation upon himself.
Ala Modalaindhi,Telugu,7.7,2 h 14 min,2011.0,All,"Gautham who works for a television channel gets kidnapped by John & then the story of the film unknots his flash back. Gautham falls in love with Kavya and on the other side Nitya is hooked up to marry her relative Deepak. Despite Gautam and Nitya being engaged to others, develop interest in one another. There is drama around where Nitya breaks the alliance and decides to return to Gautham."
Jeepers Creepers 2,Hindi,5.6,1 h 44 min,2003.0,18+,"Set a few days after the original, a championship basketball team's bus is attacked by The Creeper, the winged, flesh-eating terror, on the last day of his 23-day feeding frenzy."
Nasrani,Malayalam,4.2,2 h 29 min,2007.0,NR,"David and Sara's marriage fails to take place due to an unexpected turn of events. Years later, they continue to love one another and also strive to prove Sara's sister's innocence in a murder case."
V (Malayalam),Malayalam,6.6,2 h 20 min,2020.0,16+,"The showdown between a celebrated cop and a serial killer who challenges the former to nab him, results in consequences laced with heavy-duty action, playful romance and dark humour."
Teen Titans Go! Vs. Teen Titans,English,6.9,1 h 16 min,2019.0,13+,Teen Titans Go! take on their serious counterparts from the 2003 series when villains from each of their worlds team up to pit the two Titan teams against each other.
Gemini Man,English,5.7,1 h 57 min,2019.0,18+,Will Smith stars in the nonstop action thrill-ride from Academy Award®-winning director Ang Lee. Retired hitman (Smith) is forced on the run and finds himself hunted by his ultimate adversary - a younger clone of himself.
Borbaad,Bengali,5.4,2 h 20 min,2017.0,13+,"Joy is obsessed with bikes, and Nandini is his love. Little does he know, that he has to vroom a long way to meet his dreams."
I Am Not a Witch,English,6.9,1 h 32 min,2017.0,16+,"Following an incident in her village, Shula, 8, is accused of witchcraft. After a short trial she is found guilty, taken into state custody and exiled to a witch camp in the middle of a desert. There she takes part in an initiation ceremony, and learns the rules surrounding her new life as a witch."
Jeevan Mrityu,Hindi,7,2 h 45 min,1970.0,All,"Ashok Tandon, a hard-working bank employee who is framed by men he considers his friends. Convicted for a crime he had not committed, Ashok serves his sentence only to discover on release the death of his mother. Deepa (Raakhee), his lady love from college, also drifts away from Ashok's life."
Brother's Day (Tamil),Tamil,4.5,2 h 43 min,2019.0,13+,"Joy runs a hotel and catering service in Fort Kochi along with Rony and Munna. One fine day Rony meets an unexpected guest called Chandy and they become very close, however Chandy does not disclose his true identity to them. A lot of unexpected events take place when Shiva comes into their lives. What happens between all these characters builds the rest of the story."
Every Other Couple,English,6.6,1 h 16 min,2020.0,13+,"Three couples experience that life-changing moment when they know their relationship is over, and for each the experience is completely different. From anger to emptiness, misery to confusion, this film explores the range of emotions and varied approaches they go through as they strive to build a new life and find equilibrium in the aftermath of divorce."
Maayavan,Tamil,7.3,2 h 6 min,2017.0,13+,"Sundeep Kishan plays a police officer, who is severely injured while trapping a murderer. Couple of months after recovery, he resumes his job and during the process of investigating the murder of an actress (Akshara Gowda) comes across similarities in pattern of this murder with the previous ones. This takes him through few more characters, who are in some way connected with these murders."
Kavacham,Kannada, 5.5,2 h 18 min,2018.0,13+,Kavacham is the story of Vijay (Bellamkonda Srinivas) a sincere and dynamic police officer who gets stuck in a kidnap case which turns his life upside down as the entire department and society turns against him. He has 24 hours to prove his innocence and get back to his respectable life. Will he be able to do that?
Terminator Salvation,English,6.5,1 h 54 min,2009.0,13+,"Set in post-apocalyptic 2018, John Connor is the man fated to lead the human resistance against Skynet and its army of Terminators. But the appearance of Marcus Wright changes everything."
Bombay Summer,Hindi,6.3,1 h 42 min,2010.0,18+,"Three young people from different backgrounds experience friendship, love and loss during a summer in the city."
Despicable Me,English,7.6,1 h 34 min,2010.0,7+,"Vying to be ""World's Greatest Villain"", Gru and his crew of hilarious minions plot the crime of the century: steal the moon -- but he meets his match when three little girls steal his heart."
Transformers: Revenge of the Fallen,Tamil,6,2 h 29 min,2009.0,13+,The battle for Earth continues when college-bound Sam Witwicky learns the truth about the ancient origins of the Transformers and must join in their continued battle against the Decepticons.
Deool,Marathi,8.2,2 h 25 mins,2011.0,All,"One day Keshav, a youth from a village Mangrul, sees lord Dattatrey  in his dreams while taking a nap under a tree. He makes a hue and cry in the village saying God made an appearance for him. Anna, most respected figure of the village, advises him against announcing it. However, it is too late as a journalist sensationalizes the news about Lord Dattatrey making an appearance in Mangrul."
Akhiyon Se Goli Maare,Hindi,5.1,2 h 23 min,2002.0,All,"Topichand Bhangare owns a antique store as a front for his illegal activities. He wishes his only daughter, Sulekha, to be married to a gangster, but she is in love with another man who has no links to the underworld. The young man, Raj Oberoi, is tasked to become a gangster in order to win the hand of his daughter."
2 Hours Love,Telugu,6.7,2 h 30 min,2019.0,13+,"A contractual relationship where the couple meets only for 2 hours a day.While the guy is reluctant but the girl insists that they meet between 4 to 6 PM only.Before 4 and after 6,they behave like strangers.There are a few other conditions stated in the agreement. If the guy breaks any of the rules, the girl will terminate the agreement and their relationship. How long can such a relationship last"
Kittu Puttu,Kannada,7.5,2 h 35 min,1977.0,NR,"The story revolves around Kittu and Puttu, mischievous sons of a rich businessman who want to become detectives."
The End of Love,English,6,1 h 32 min,2012.0,18+,"When the mother of his infant son unexpectedly passes away, struggling actor Mark grapples with fatherhood and his inability to grow up. And when he sparks with a single mother, he learns how his choices have real-life consequences."
Jimmy Ee Veedinte Aiswaryam,Malayalam,6.4,1 h 49 min,2019.0,All,"Jancy Vetilakaran and her family's entire life revolves around her pet dog Jimmy. So when she gets married, her relationship with her husband - also named Jimmy - takes a back seat. Dejected, Jimmy tries everything he can to become the object of her affections."
I Am Kalam,Telugu,8,1 h 28 min,2011.0,All,"I Am Kalam Is A Award Winning Bollywood Kids Movie, Directed By Nila Madhab Panda. The Film Was Screened At The Cannes Film Festival. It Has Received Many International And National Awards And Honours.  A Poor Boy Derives Inspiration From The Former President Of India, A. P. J. Abdul Kalam. He Then Decides To Change His Name To Kalam And Harbours A Dream Of Meeting The Visionary."
Autorsha,Malayalam,5.7,2 h 11 min,2018.0,All,"In Kannur, Anitha (Anusree) tries to earn a living as an autorickshaw driver. Soon, she embarks on several adventures as she meets different passengers every day."
Theeran (Hindi),Hindi,8.2,2 h 20 min,2018.0,13+,"Theeran, a police officer, tries to decode a series of cold blood events based on same pattern. Who's behind those ruthless events? How Theeran and team traces them? Did they succeed? forms the story of this crime action thriller."
Sodari,Kannada,7.8,1 h 41 min,1995.0,NR,"Sodari is a 1955 Indian Kannnada film, directed by T V Singh Takur and produced by G N Vishwanatha Shetty, T V Singh Takur. The film stars Narasimharaju, Dr Rajkumar and Pandhariba in lead roles. The film had musical score by T Padman."
Dhol,Hindi,6.3,2 h 25 min,2007.0,13+,"Four young loafers wish to simplify their life by wooing a loaded heiress. Unfortunately, there's only one rich girl in the neighbourhood. The boys scamper to woo her first, not knowing that their efforts would lead them right into a murder mystery."
Scooby-Doo! Return to Zombie Island,English,5.7,1 h 19 min,2019.0,13+,"Trying to put their mystery-solving days behind them, the Scooby gang arrive at a mysterious tropical island where their vacation is cut short... by an army of marauding zombies!"
Swati Mutyam,Telugu,8.3,2 h 40 min,1986.0,All,"Sivayya (Kamal Haasan), an autistic person, is only good at obeying what his grandmother says. A widow (Raadhika) and her son enter his life and in attempt to do them good, Sivayya marries her during an auspicious village festival. How he earns his living and courageously fights the social conventions and injustice forms the plot of Swathi Mutyam."
Dus,Hindi,5.5,2 h 20 min,2005.0,13+,"Siddharth Dheer heads an anti-terrorism squad that plans to apprehend a dreaded terrorist, Jambval. Watch how Siddharth and his team track down Jambval without the slightest of leads about his looks."
America,English,5.7,7min,2013.0,NR,"Hoh Rain Forest, Washington: One place. One boy. One day. One shot. One reel of film."
Permanent,English,5.6,1 h 33 min,2017.0,18+,"Permanent is a comedy about bad hair, adolescence, and socially awkward family members. It involves life-altering permanents and poorly-made toupees. Obstacles to daily survival ensue."
Noor,Hindi,4,1 h 56 min,2017.0,13+,A journalist's life takes a dramatic turn when she comes across an eye-opening investigative news story.
Ami Aadu,Bengali,7.4,1 h 56 min,2011.0,All,"Adu, a poor Hindu girl, lives in a village in India. She falls in love with Suleman, a Muslim garment supplier. Suleman wants to learn English and become a fluent speaker."
Albert Pinto Ko Gussa Kyun Aata Hai?,Hindi,5.5,1 h 22 min,2019.0,18+,"Albert Pinto goes missing one day and his girlfriend and family start making rounds at the police station to track him down. Unknown to them, he is on his way to Goa to carry out his first assignment as a hitman."
Kaydyacha Bola,Marathi,7.1,2 h 13 mins,2005.0,All,"Harshvardhan  and Abhijit, who are students, lie to their parents & land up in Bombay to have fun. Unfortunately, they get caught up in a mess with the law that they can't find a way out. They get framed for a murder they didn't commit. Stuck in a hopeless situation, they look for help. The real drama begins when Keshav an Advocate, who has never won a single lawsuit, is forced to defend them."
Shrek 2,English,7.2,1 h 32 min,2004.0,7+,"Happily ever after never seemed so far far away when a trip to meet the in-laws turns into a hilariously twisted adventure for Shrek (Mike Myers) and Fiona (Cameron Diaz). With the help of his faithful Donkey (Eddie Murphy), Shrek takes on a potion-brewing Fairy Godmother, the pompous Prince Charming (Rupert Everett), and the ogre-killer, Puss In Boots (Antonio Banderas) who's a pussycat at heart."
Detective Dee: Mystery of the Phantom Flame,Telugu,6.6,1 h 56 min,2011.0,13+,"A bizarre murder mystery brings together the most powerful woman in China, the soon-to-be-Empress Wu and a formerly exiled Detective Dee at the infamous Imperial Palace. Hoping that he will solve the crime before her coronation Wu appoints Dee Chief of the Empire and implores him to combine his indisputable wisdom with his unparalleled martial arts skills to save the future of her dynasty."
Gamer,Tamil,5.8,1 h 34 min,2009.0,18+,"In a future mind-controlling game, death row convicts are forced to battle in a 'Doom'-type environment. Convict Kable, controlled by Simon, a skilled teenage gamer, must survive thirty sessions in order to be set free."
Gori Tere Pyaar Mein,Hindi,4.9,2 h 24 min,2013.0,13+,"This modern day romance has Sriram Venkat(Imran Khan)in the role of an edgy self-centered fellow who realises he is still in love with his ex-girlfriend Dia (Kareena Kapoor) , whom he had disappointed once. He must become a better version of himself in order to earn her trust and love back. This is the story of Sriram Venkat's journey to win his love back."
Crank: High Voltage aka Crank 2,English,6.2,1 h 31 min,2009.0,18+,"Surviving a fall from the sky, Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker which requires regular jolts of electricity to keep working. He calls Doc Miles, an unlicensed cardiologist, who tells him there's only an hour's life in the artificial heart: keep it charged"
Nuvvala Nenila,Telugu,5.4,2 h 18 min,2014.0,13+,"Varun Sandesh is an NRI, who comes to India for business reasons. He meets his project manager Mahi who already has a boy friend. As time passes by, Krish makes Mahi realize that her boyfriend is not a perfect match for her and makes her break up with him. An upset Mahi decides to up her game, and gets a make over."
"Love, Kennedy",English,6.7,1 h 31 min,2017.0,7+,"Kennedy Hansen is a 15 year old girl with three goals, drive a car, date boys and be a cheerleader. Even though she contracts a terrible disease, Kennedy is able to triump over her obstacles and make her dreams come true."
Quicksand,English,5.3,1 h 35 min,2003.0,18+,"After a workaholic banker journeys to Monaco to investigate the suspicious activities of a company, he finds himself framed for murder and running for his life. Starring Academy Award winner and screen icon Michael Caine and Academy Award nominee Michael Keaton."
Andhra Mess,Tamil,3.3,1 h 37 min,2018.0,13+,"Four criminals abscond with the money that they have stolen on a job, and end up in a remote village. Meanwhile, the gangster under whom they work is trying to trace their whereabouts"
Majha Navra Tujhi Baiko,Marathi,6.1,2 h 27 mins,2006.0,All,"A married couple, Naina and Vijay are constantly at loggerheads with each other. Things change when Vijay's college sweetheart Mohini arrives as their new neighbour, along with her husband Vitthal who turns out to be Naina's childhood buddy."
Chathurangam,Malayalam,3,2 h 29 min,2002.0,NR,"The story is set in Kottayam. Atiprackal Jimmy Jacob is everyone's favourite. Something turns around his life. Watch the full movie online on erosnow.com, mobile or TV."
Harry Potter and the Sorcerer's Stone,Hindi,7.6,2 h 32 min,2001.0,All,"Based on the wildly popular J.K. Rowling's book about a young boy who on his eleventh birthday discovers, he is the orphaned boy of two powerful wizards and has unique magical powers."
Krutant,Marathi,6.5,1 h 57 mins,2019.0,13+,"Samyak, a working professional staying in Mumbai, plans a sudden trip to Konkan with his friends. While he wants to drive down to the destination, Samyak's wife suggests he take the bus instead. On reaching Konkan, Samyak meets Baba, a wise old man, while waiting for his friends to join him. whose haunting tale could change his life."
Parijatha,Kannada,7.2,2 h 24 min,2012.0,NR,"Parijatha is a 2012 Indian Kannada film, directed by Prabhu Srinivas and Produced by T N Prem Kumar. The film stars Diganth, Aindritha Ray, Mukyamanthri Chandru, Sharan, Sadhu Kokila, Ramji, Kadal DandapaniNamratha, Nandini and Shilpa in lead roles. The film had musical score Mano Murthy."
Inspector NottyK,Bengali,5.2,2 h 24 min,2018.0,13+,"Notobar Khara, aka Notty K, a village bumpkin from the Khara family of Chamkaitala, in his pursuit to secure his dream job as a police inspector, travels to Italy to bring back Samira, the daughter of SP and reunite the family. All goes well for Notobar until he falls in love with Samira who is a police officer in Italy and a series of strange events ensues."
Aksar,Hindi,4.8,1 h 59 min,2006.0,18+,A love triangle where everybody is blackmailing the other two gets a nasty upset when one of them is suddenly found murdered.
Sarileru Neekevvaru,Telugu,6,2 h 51 min,2020.0,13+,"Sarileru Neekevvaru is the story of Ajay Krishna (Mahesh Babu), a superior Army Major who is a player in handling tough tasks across the border. Soon, Ajay moves to Kurnool on a secret mission and he comes to know about a tiff of a family with the antagonist."
Molly Aunty Rocks!,Malayalam,5.9,2 h 8 min,2012.0,All,"Molly is an unstoppable woman, who will do only what she feels is right. Molly's world is unique and she is its unquestioned queen. Pranav is an egoistic bureaucrat of the premier and exclusive Indian Revenue Service, who wants his system and power to rule over the subjects. When both of them clash, sparks fly and egos would not relent. Will Molly rock or will Pranav get her locked?"
Looking Glass,English,4.6,1 h 47 min,2018.0,18+,"A couple buy a desert motel where they find that strange, mysterious events occur."
Thugs Of Hindostan (Tamil),Tamil,4.1,2 h 44 min,2018.0,16+,A story about one man’s love for his nation and another’s love for power. An epic adventure filled with edge-of-the-seat thrills and war on the seas.
Tumbbad,Telugu,8.3,1 h 44 min,2018.0,18+,"In the rural village of Tumbbad, a decaying castle hides an immeasurable ancestral fortune guarded by something ancient, sinister, and monstrous. Vinayak thinks he can control it, but how long will it be until his own greed destroys everything he’s built?"
Milan Talkies,Hindi,5,2 h 20 min,2019.0,13+,"Milan Talkies is set in a small town of Uttar Pradesh in the year span of 2010- 2013 where single screen theatres were still prominent and loved. It portrays a love story between an aspiring film director, Annu, and a young girl, Maithali, who belongs to a strict Panda (priest) family. Due to social prejudice they are unable to communicate easily, hence films become a means to unite them."
The Smurfs,Tamil,5.4,1 h 42 min,2011.0,7+,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours - in fact, smack dab in the middle of Central Park."
A Good Man,English,4.6,1 h 43 min,2014.0,18+,"A man leaves special forces and hides away as handyman in Bucharest. He befriends two sisters living next door. When the Russian mob threatens them, he takes action."
Dead Birds,English,5.6,1 h 30 min,2004.0,13+,A group of Confederate soldiers hole up in an abandoned plantation after robbing a bank and find themselves at the mercy of supernatural forces.
Nawabzaade,Hindi,4.4,1 h 49 min,2018.0,13+,"Three best friends fall in love with the same girl and fight among themselves to win her affections. But, they soon realize that their beloved is much more than her exterior of a simple girl."
Vellipomakey,Telugu,6.5,1 h 46 min,2017.0,All,Vellipomakey is a story of a boy waiting to fall in love and a girl who changes his life forever. Chandu (Vishwak Sen) is an animator who falls for Sruthi (Supriya) from work but she turns him down. A heartbroken Chandu suddenly receives a friend request from Swetha (Nithya) and what happens next turns his life upside down.
Monster,Tamil,6.8,2 h 17 min,2019.0,All,A compassionate man who believes that earth is for every living creature gets troubled by a rat and tries to kill it. Did he kill it or let it go free is the crux of the story.
Vichitram,Telugu,6,2 h 18 min,1999.0,NR,"Vichitram is a 1999 Indian Telugu film, directed by Jandhyala and produced by P.Laxmi Narayana Reddy and R.Raj Mohan. The film stars Brahmanandam and M.S.Narayana in lead roles. Music of the film was composed by M.M.Keeravani."
Marjiana Abdullah,Bengali,7.6,2 h 11 min,1973.0,NR,"Alibaba was a simple ,hardworking , middleclass personality who once went to a forest for some purpose. When he entered into that forest he found a deep secret, a formula to enter a cave. Actually that cave was filled by robbed jewelleries and gold coins. He took some with him and became very rich. But those robbers realised that something was missing from their hidden treasures. So they beg ..."
Zhagaram,Tamil,5.4,1 h 52 min,2019.0,All,"Zhagaram is a reminder of the ancient Tamil civilization that flourished in Kumari Kandam. Protagonist Akhil (Nandha) sets out to learn the hidden truth behind a secret that his grandfather, an archaeologist, was fascinated with. He's accompanied by his wife Surya (Eden) and his family."
Byomkesh O Chiriakhana,Bengali,6.6,1 h 42 min,2017.0,13+,Residents of a farmhouse get welcomed by Byomkesh’s sudden visit as someone has been in disguise. Will Byomkesh recognise?
The Boy,Tamil,6,1 h 33 min,2016.0,16+,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive."
Anbe Vaa,Tamil,7,2 h 54 min,1966.0,All,"M.G.R is a wealthy industrialist decides to take a break at his Shimla house. He lands there and finds that his caretaker has rented his house to Saroja Devi's family. M.G.R decides not to reveal his identity and pretends to be a wealthy man, Balu, willing to pay rent for a place in the house. By the time M.G.R confesses his love for her, Saroja Devi's engagement is already fixed."
Aaj Ki Awaz,Hindi,5.7,2 h 14 min,1984.0,18+,"A mild-mannered but conscientious citizen turns vigilante to counter police apathy but pays a price for it when mafia kill his family. Devastated, he takes on the criminals in a fight to the finish."
Ottamuri Velicham,Malayalam,7.3,1 h 39 min,2018.0,NR,"After marrying Chandran, Sudha moves to her in-laws' one-roomed house, where she struggles to find her privacy. Meanwhile, her husband constantly attempts to physically exert his dominance over her. Traumatised, Sudha decides to fight her battle and take revenge on Chandran. Will the powerless Sudha succeed in her fight for survival?"
The Dark Knight Rises,Telugu,8.4,2 h 44 min,2012.0,13+,"In this epic conclusion to the Dark Knight trilogy, the emergence of Bane, a masked terrorist with ruthless plans for Gotham, drives Batman out of his self-imposed exile."
Up Up & Up,Telugu,5.6,1 h 18 min,2019.0,All,Wings or no wings one day I m gonna fly.
MCA (Middle Class Abbayi),Telugu,5.9,2 h 18 min,2017.0,13+,Nani(Nani) a middle-class guy who stays with his sister in law(Bhumika). He leads a happy go lucky life with his girlfriend(Sai Pallavi) but things change all of a sudden when Bhumika who is a government servant lands into problems with a dreaded criminal(Naresh Vijay) in Warangal. Rest of the story is as to how a simple guy like Nani confronts the dreaded gangster and saves his sister in law.
Geostorm,Tamil,5.3,1 h 49 min,2017.0,13+,Something's wrong with the satellites that control climate and prevent devastating natural disasters. It’s a race to uncover the threat before a worldwide geostorm engulfs the planet.
Anuranan,Bengali,6.7,1 h 46 min,2006.0,All,"Successful and dynamic Rahul (Rahul Bose) and his wife Nandita (Rituparna Sengupta) return to Kolkata from London and become good friends with another couple Amit (Rajat Kapoor) and Preeti (Raima Sen). But the growing bond of friendship between Rahul and Preeti causes rumours to take round, until tragedy strikes in Rahul's life and the misunderstandings worsen."
Lord of the Rings: The Two Towers,English,8.7,2 h 59 min,2002.0,13+,"In the part second of the Tolkien trilogy, Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths."
Dhruva,Kannada, 5.7,2 h 20 min,2020.0,All,An ancient Martial art form of Tamilnadu is in the verge of extinction. The hero wants to make it popular yet again among the current generation showcasing it's rich values & merits. Will the hero be able to accomplish his desire ?
Tambyacha Vishnubala,Marathi,7.4,2 h 37 mins,2001.0,18+,"Kind, loving Vishnu (Sayaji Shinde) is transformed overnight to a raging, vengeful man who is dreaded by his entire village. Wheels of revenge start churning ,transforming his loving mother too in this journey."
Hisss,Hindi,2.8,1 h 37 min,2010.0,18+,"A man is diagnosed with brain cancer. He is told that if he can manage to get his hands on 'Nagmani', he will become immortal. He captures a male snake hoping to obtain the 'Nagmani' as ransom."
Lucky Chance,Telugu,6.1,1 h 53 min,1994.0,NR,"Lucky Chance is a 1994 Indian Telugu film, directed by Sivanageswararao and produced by C.Saratbabu. The film stars Rajendra Prasad, Kanchan, Satyanarayana, Kota Srinivasa Rao and Brahmanandam in lead roles. Music of the film was composed by Sri."
After Sex,English,5.5,1 h 17 min,2008.0,18+,"What do we talk about when sex is over? Meet eight couples - straight and gay; virgins and strangers; lovers, liars, cheaters and swingers."
Shool,Hindi,7.7,2 h 14 min,1999.0,18+,"For following his duties with honesty, Police Inspector Samar is transferred to a small town, swarming with corruption and moral decay. He soon earns the wrath of a corrupt politician. Now he must deal with a corrupt department and live with the threat to him and his family."
Task Force,English,5.8,1 h 35 min,2000.0,18+,A veteran narcotics officer takes on a case that could cost him his life. Based on a true story.
The Diary of a Teenage Girl,English,6.9,1 h 42 min,2015.0,18+,"Minnie Goetze is a 15-year-old aspiring comic-book artist, coming of age in the haze of the 1970s in San Francisco. Insatiably curious about the world around her, Minnie is a pretty typical teenage girl. Oh, except that she’s sleeping with her mother’s boyfriend."
Janaadhipan,Malayalam,6,2h,2019.0,13+,"Based on the life of a Chief Minister in Kerala, who was pitted against an invisible foe and how everyone involved was scheming ruthlessly for their own personal gain."
Main Khiladi Tu Anari,Hindi,6.5,2 h 49 min,1994.0,13+,A police officer seeks revenge when his brother is killed by a powerful underworld figure. Things get complicated when a matinee movie idol begins to tag along the policeman so he can research a movie role.
The Matrix Reloaded,English,7.2,2 h 18 min,2003.0,18+,"Neo, Trinity & Morpheus lead revolt against Machine Army unleashing their arsenal of extraordinary skills & weaponry against systematic forces of repression & exploitation."
Nikka Zaildar 3,Punjabi,4.1,1 h 56 mins,2019.0,13+,The film chronicles the story of Nikka whose father's soul enters his body following his death.
Mane Devru,Kannada,7.5,2 h 14 min,1993.0,NR,"Mane Devru is a 1993 Indian Kannada film, directed by V. Ravichandran and produced by Meena Sujatha. The film stars V. Ravichandran, Sudha Rani, K. S. Ashwath, Disco Shanti and Tennis Krishna in lead roles. Music of the film was composed by Hamsalekha."
Atlas Shrugged: Part II,English,5.4,1 h 51 min,2012.0,16+,Railroad owner Dagny Taggart and steel mogul Hank Rearden search desperately for the inventor of a revolutionary motor as the U.S. government continues to spread its control over the national economy.
Elektra,English,4.7,1 h 36 min,2005.0,13+,"Notorious assassin Elektra unwittingly takes part in her former teacher's test when she protects a former target and his daughter from ""The Hand,"" a sinister crime syndicate of martial arts fighters."
Meri Pyaari Bindu,Hindi,5.9,1 h 56 min,2017.0,13+,"A successful writer, Abhimanyu Roy (Ayushmann Khurrana) returns to his roots to write an old-fashioned love story, 3 years in the making. This writer's block is called Bindu (Parineeti Chopra). How do you contain this live wire in the pages of a book? When Abhi stumbles across an old audio cassette of their favourite playlist, it sends him down memory lane and his novel starts writing itself."
Flight 192,Malayalam,5,1 h 25 min,2016.0,16+,An FBI agent has her family taken hostage while she is on a flight to Washington DC. The agent then has to make a decision that could cost the lives of her husband and her son.
47 Rojulu,Telugu,6.8,2 h 5 min,1981.0,NR,"47 Rojulu is a 1981 Indian Telugu film, directed by K. Balachander and produced by R. Venkataraman. The film stars Chiranjeevi, Jaya Prada and Sarath Babu in lead roles. Music of the film was composed by M. S. Viswanathan."
Mad Max: Fury Road,Hindi,8.1,2h,2015.0,18+,"From director George Miller comes the fourth adventure in the Mad Max film series. In a post-apocalyptic world, Max teams up with a mysterious woman, Furiosa, to try and survive."
Bemisal,Hindi,7.1,2 h 22 min,1982.0,All,"Bemisal is the story of a noble orphan, Sudhir who sacrifices everything he has, from the love of his life to his profession and reputation, to save his foster family."
Marley & Me,English,7.1,1 h 55 min,2008.0,13+,"A New York Times bestseller, Marley & Me is the heartwarming and unforgettable story of a family in the making and the wondrously neurotic dog who taught them what really matters in life."
Velaikkaran,Tamil,6.7,2 h 19 min,1987.0,All,"Velaikkaran Is A Super Hit Tamil Comedy Movie, Directed By S. P. Muthuraman, Starring Super Star Rajinikanth, Sarath Babu, Amala, K. R. Vijaya, Senthil And Nassar In The Lead Roles. Ragupathy, Who Lives With His Grandfather, Meets The Owner Of A Hotel For An Interview. When He Finds Out That His Mother Lives With The Owner, Whose Life Is Under Threat, He Vows To Protect Him."
Roti,Hindi,6.9,2 h 29 min,1972.0,All,"Upon being sentenced to death, Mangal,a hardened criminal, escapes prison. He assumes a new identity in a small village and builds a new life for himself as a school teacher, but his past catches up with him and now he must deal with its aftermath."
PIRANHA 3DD,Hindi,3.7,1 h 19 min,2012.0,18+,"After the events at Lake Victoria, the pre-historic school of blood-thirsty piranhas make their way into a newly opened waterpark."
